country;Region;Surface area (km2);Population in thousands (2017);Population density (per km2, 2017);Sex ratio (m per 100 f, 2017);GDP: Gross domestic product (million current US$);GDP growth rate (annual %, const. 2005 prices);GDP per capita (current US$);Economy: Agriculture (% of GVA);Economy: Industry (% of GVA);Economy: Services and other activity (% of GVA);Employment: Agriculture (% of employed);Employment: Industry (% of employed);Employment: Services (% of employed);Unemployment (% of labour force);Labour force participation (female/male pop. %);Agricultural production index (2004-2006=100);Food production index (2004-2006=100);International trade: Exports (million US$);International trade: Imports (million US$);International trade: Balance (million US$);Balance of payments, current account (million US$);Population growth rate (average annual %);Urban population (% of total population);Urban population growth rate (average annual %);Fertility rate, total (live births per woman);Life expectancy at birth (females/males, years);Population age distribution (0-14 / 60+ years, %);International migrant stock (000/% of total pop.);Refugees and others of concern to UNHCR (in thousands);Infant mortality rate (per 1000 live births;Health: Total expenditure (% of GDP);Health: Physicians (per 1000 pop.);Education: Government expenditure (% of GDP);Education: Primary gross enrol. ratio (f/m per 100 pop.);Education: Secondary gross enrol. ratio (f/m per 100 pop.);Education: Tertiary gross enrol. ratio (f/m per 100 pop.);Seats held by women in national parliaments %;Mobile-cellular subscriptions (per 100 inhabitants);Individuals using the Internet (per 100 inhabitants);Threatened species (number);Forested area (% of land area);CO2 emission estimates (million tons/tons per capita);Energy production, primary (Petajoules);Energy supply per capita (Gigajoules);Pop. using improved drinking water (urban/rural, %);Pop. using improved sanitation facilities (urban/rural, %);Net Official Development Assist. received (% of GNI);;
Australia;Oceania;7692060;24451;44230;99.3;1230859;44288;51352.2;44318;44342;71.1;44379;44248;76.1;44321;58.4/70.7;111;111;189630;189406;224;-57746;44317;89.4;44317;44440;84.4/80.2;19.0/21.0;6763.7/28.2;58.2;44442;44295;44289;44232;102.1/102.3;133.6/141.3;106.3/75.4;44405;132.8;84.6;948;44243;361.3/15.3;15282;222;100.0/100.0;100.0/100.0;-99;;
Austria;WesternEurope;83871;8736;106.0;96.2;376967;1.0;44117.7;44256;44283;70.4;44381;44372;69.7;44233;54.6/65.8;108;108;145503;149299;-3795;7020;0.6;66.0;0.4;44287;83.5/78.4;14.1/25.1;1492.4/17.5;166.4;44258;44238;44232;44321;102.2/103.7;97.6/102.4;89.2/74.3;44377;157.4;83.9;118;46.9;58.7/6.9;505;158;100.0/100.0;100.0/100.0;-99;;
Azerbaijan;WesternAsia;86600;9828;118.9;99.3;53049;0.7;5438.7;44383;49.9;43.4;36.7;44241;49.1;44232;62.0/68.8;131;136;9143;8532;611;-222;44256;54.6;44348;44198;74.6/68.6;23.3/10.1;264.2/2.7;623.3;31.4;6.0;44289;44349;105.6/107.4;-99;27.5/23.6;44424;111.3;77.0;97;44329;37.5/3.9;2459;61;94.7/77.8;91.6/86.6;0.14;;
Bahamas;Caribbean;13940;395;39.5;95.9;8854;-1.7;22817.2;44348;44389;85.7;44442;44241;81.9;44391;69.4/79.1;132;132;365;2904;-2539;-1409;44287;82.9;44317;44409;78.1/72.0;20.5/13.5;59.3/15.3;0.1;44205;44384;...;...;.../...;.../...;-99;44240;80.3;78.0;86;51.4;2.4/6.3;0;90;98.4/98.4;92.0/92.0;-99;;
Bahrain;WesternAsia;771;1493;1963.9;168.3;31126;44441;22600.2;0.3;40.7;59.0;1.0;33.4;65.6;44256;38.5/84.9;167;167;12892;14749;-1856;1124;2.0;88.8;44378;44198;77.5/75.6;19.7/4.6;704.1/51.1;0.4;44445;5.0;0.9;44379;101.8/100.6;101.9/102.4;59.4/30.9;44323;185.3;93.5;36;0.8;31.3/23.0;961;413;100.0/100.0;99.2/99.2;-99;;
Bangladesh;SouthernAsia;147570;164670;1265.0;101.7;194466;44353;1207.9;44331;44224;56.3;40.6;44215;40.3;4.0;43.2/81.1;141;140;36031;52624;-16593;2687;44228;34.3;44350;44229;72.9/69.8;28.4/7.3;1422.8/0.9;233.0;33.3;44410;0.4;44440;125.1/116.0;67.4/59.8;11.4/15.4;44275;83.4;44300;151;11.0;73.2/0.5;1438;11;86.5/87.0;57.7/62.1;45292;;
Barbados;Caribbean;431;286;664.5;91.9;4385;0.9;15429.4;44378;44208;86.2;44410;44274;77.9;44266;61.8/70.0;88;88;517;1621;-1104;-248;0.3;44347;0.1;44409;77.7/72.9;19.1/21.0;34.5/12.1;~0.0;44356;44323;...;44353;94.2/93.1;110.7/107.9;90.6/40.3;44393;116.5;76.1;56;44391;1.3/4.5;2;59;99.7/99.7;96.2/96.2;...;;
Belarus;EasternEurope;207600;9468;46.7;87.0;54609;-3.9;5750.8;44323;38.9;53.6;44356;32.0;58.4;0.5;54.0/67.8;122;122;23414;27464;-4050;-2037;~0.0;76.7;~0.0;44348;77.7/66.5;16.7/21.3;1082.9/11.4;44446;44350;44382;44200;44443;101.3/101.4;106.4/107.8;100.7/75.9;34.5;123.6;62.2;25;42.5;63.5/6.7;155;122;99.9/99.1;94.1/95.2;0.20;;
Belgium;WesternEurope;30528;11429;377.5;97.3;455107;44317;40277.8;0.7;44249;77.1;44228;44248;77.6;44263;48.1/58.9;108;107;398033;372713;25321;1936;0.6;97.9;0.5;44409;83.0/78.0;17.1/24.6;1387.9/12.3;63.8;44319;44357;3.0;44353;104.2/104.2;177.7/156.4;85.4/65.0;38.0;115.7;85.1;37;44369;93.4/8.3;520;196;100.0/100.0;99.5/99.4;-99;;
Belize;CentralAmerica;22966;375;44302;99.2;1721;44228;4789.4;44361;44334;66.9;44212;44454;67.9;44327;56.7/83.8;97;97;246;952;-706;-175;44229;44.0;44440;44349;72.7/67.2;31.4/6.2;53.9/15.0;44199;44269;44413;...;44292;110.4/115.8;81.8/79.8;28.7/17.9;44295;48.9;41.6;117;60.1;0.5/1.4;9;36;98.9/100.0;93.5/88.2;24838;;
Benin;WesternAfrica;114763;11176;99.1;99.5;8476;44232;779.1;44250;44463;51.9;43.2;44237;46.6;1.0;70.0/73.4;152;158;410;2630;-2220;-885;44410;44.0;44380;44232;61.4/58.5;42.7/5.0;245.4/2.3;0.8;67.7;44351;0.1;44290;123.7/134.2;46.8/66.7;8.4/22.4;44234;85.6;44414;88;38.7;6.3/0.6;96;17;85.2/72.1;35.6/7.3;44444;;
Bermuda;NorthernAmerica;53;61;1227.0;91.4;5853;0.4;94399.9;0.7;44260;94.0;44348;44265;87.6;44383;72.6/80.0;115;115;8;971;-963;817;-0.6;100.0;0.2;44317;85.1/77.5;14.8/24.9;19.1/30.8;-99;-99;-99;-99;44378;89.4/91.3;75.5/67.7;34.1/14.7;-99;58.0;98.3;72;20.0;0.6/9.2;1;136;-99;-99;-99;;
Bhutan;SouthernAsia;38394;808;44248;113.1;2074;44232;2677.1;44244;43.9;38.8;56.6;44386;33.7;44288;59.4/73.5;98;98;616;1688;-1072;-579;44348;38.6;44380;44229;68.9/68.6;26.5/7.3;51.1/6.6;-99;44346;44350;0.3;44293;96.9/96.6;87.1/81.4;9.2/12.6;44324;87.1;39.8;71;72.0;1.0/1.3;75;82;100.0/100.0;77.9/33.1;46143;;
Bolivia (Plurinational State of);SouthAmerica;1098581;11052;44237;100.2;32998;44412;3076.8;44359;31.0;56.5;44345;44217;49.4;44411;64.1/82.6;142;143;6969;8374;-1405;-1854;44348;68.5;44257;3.0;70.2/65.3;31.6/9.5;143.0/1.3;0.8;42.9;44261;0.5;44262;95.7/98.5;85.7/87.1;.../...;53.1;92.2;45.1;231;50.8;20.4/1.9;962;32;96.7/75.6;60.8/27.5;13912;;
Bonaire; Sint Eustatius and Saba;Caribbean;-99;25;77.4;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;44230;74.7;44288;-99;-99;-99;13.0/52.3;...;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;56;-99;0.3/13.3;0;208;-99;-99;;-99
Bosnia and Herzegovina;SouthernEurope;51209;3507;68.8;96.4;16251;44199;4265.0;44262;44342;66.2;18.0;44316;51.7;44311;34.3/57.5;96;97;5327;9130;-3803;-923;-1.0;39.8;0.1;44256;78.8/73.7;14.1/23.4;34.8/0.9;157.6;44354;44356;44440;-99;-99;-99;-99;44307;90.2;65.1;91;42.7;22.2/5.8;252;85;99.7/100.0;98.9/92.0;43862;;
Botswana;SouthernAfrica;582000;2292;4.0;97.7;14391;-0.3;6360.6;44288;33.4;64.2;44402;44453;59.4;44365;73.6/81.6;110;110;7321;6103;1218;1120;44409;57.4;44256;44441;66.1/59.8;31.4/6.4;160.6/7.1;44410;35.2;44291;0.4;...;105.8/109.4;.../...;27.7/19.2;44325;169.0;44343;28;44274;7.0/3.2;47;44;99.2/92.3;78.5/43.1;0.46;;
Brazil;SouthAmerica;8515767;209288;25.0;96.6;1772591;-3.8;8528.3;44232;44399;72.0;44242;44337;63.2;44298;56.0/78.2;135;136;185235;137552;47683;-58882;0.9;85.7;44228;44409;78.4/71.0;21.7/12.6;713.6/0.3;41.1;44423;44263;44440;6.0;113.8/116.8;102.2/97.2;59.3/42.4;44387;126.6;59.1;990;59.2;529.8/2.6;10948;61;100.0/87.0;88.0/51.5;0.06;;
British Virgin Islands;Caribbean;151;31;208.0;97.1;908;-1.1;30144.5;1.0;44207;87.8;...;...;...;-99;-99;103;103;~0;444;-444;-99;2.0;46.2;44409;...;.../...;.../...;17.3/57.5;...;-99;-99;-99;44353;-99;-99;-99;-99;145.8;37.6;67;44220;0.2/6.0;0;85;.../...;97.5/97.5;-99;;
Brunei Darussalam;South-easternAsia;5765;429;81.3;106.0;12930;-0.6;30552.7;44197;60.2;38.7;0.6;44305;80.1;44198;50.6/75.0;157;157;4875;2679;2197;2071;44287;77.2;44409;44440;78.4/75.1;23.0/8.0;102.7/24.3;44336;44322;44349;44317;44290;108.2/108.1;96.3/95.9;38.6/23.5;44205;108.1;71.2;193;72.1;9.1/21.8;679;357;-99;-99;-99;;
Bulgaria;EasternEurope;111002;7085;65.3;94.6;48953;3.0;6846.8;44201;44374;67.2;44322;44315;64.1;44204;48.5/60.1;117;119;26088;28875;-2787;196;-0.6;73.9;-0.3;44317;77.8/70.8;14.2/27.7;102.1/1.4;33.7;44263;44294;4.0;44200;96.7/97.7;97.4/100.5;82.9/65.4;44246;129.3;56.7;104;35.1;42.4/5.9;474;103;99.6/99.0;86.8/83.7;-99;;
Burkina Faso;WesternAfrica;272967;19193;70.2;99.5;11065;44200;611.1;34.5;44429;43.7;80.0;44443;44211;44441;76.5/90.5;131;134;2019;3699;-1680;-998;3.0;44468;44444;44352;59.3/58.0;45.2/3.9;704.7/3.9;32.7;64.8;5.0;~0.0;44200;86.1/89.9;32.2/35.1;3.8/7.3;11.0;80.6;44297;31;44427;2.8/0.1;123;9;97.5/75.8;50.4/6.7;44509;;
Burundi;EasternAfrica;27830;10864;423.1;96.9;2735;-4.1;244.6;36.3;44452;49.8;91.1;44349;44261;44378;84.6/82.7;109;122;123;625;-502;-375;3.0;44208;44382;6.0;58.0/54.2;45.0/4.4;286.8/2.6;103.2;77.8;44323;...;44291;124.5/123.1;40.5/44.5;2.4/7.7;36.4;46.2;44443;61;44357;0.4/~0.0;56;6;91.1/73.8;43.8/48.6;33543;;
Cabo Verde;WesternAfrica;4033;546;135.6;99.3;1603;44317;3080.2;44325;44427;70.7;44254;44327;61.3;44326;53.7/84.6;98;98;29;485;-455;-73;44228;65.5;2.0;44318;74.0/70.1;30.2/6.9;14.9/2.9;0.1;44338;44412;0.3;5.0;106.9/112.8;98.3/87.7;25.2/18.1;44370;127.2;43.0;65;44218;0.5/1.0;2;17;94.0/87.3;81.6/54.3;29830;;
Cambodia;South-easternAsia;181035;16005;90.7;95.3;18050;7.0;1158.7;44255;44315;42.3;42.4;44366;38.0;0.3;75.6/87.0;175;177;13204;15313;-2109;-1657;44348;44397;44349;44379;69.6/65.5;31.3/7.1;74.0/0.5;0.3;44468;44382;0.2;44440;116.2/117.1;.../...;11.8/14.3;44275;133.0;19.0;255;54.3;6.7/0.4;178;17;100.0/69.1;88.1/30.5;35490;;
Cameroon;MiddleAfrica;475650;24054;50.9;100.2;28416;44413;1217.3;44399;44283;49.1;61.8;44385;44345;44351;71.1/81.2;155;160;2130;4899;-2768;-1173;44379;54.4;44350;5.0;57.7/55.1;42.7/4.8;382.0/1.6;544.9;67.5;44200;...;3.0;110.7/123.5;53.5/62.6;15.2/19.7;44227;71.8;44397;775;40.3;7.0/0.3;408;14;94.8/52.7;61.8/26.8;11355;;
Canada;NorthernAmerica;9984670;36624;4.0;98.5;1552808;0.9;43205.6;44409;44375;69.6;44198;44335;78.4;44203;60.7/69.9;109;109;388911;402954;-14043;-53083;1.0;81.8;44228;44348;83.8/79.7;16.0/23.5;7835.5/21.8;155.8;44381;44296;44318;44260;101.1/100.1;110.0/109.8;.../...;44281;81.9;88.5;122;38.2;537.2/15.1;19276;324;100.0/99.0;100.0/99.0;-99;;
Cayman Islands;Caribbean;264;62;256.5;100.4;3726;0.7;62132.0;0.3;44323;92.2;0.8;44331;83.6;44261;80.6/85.6;104;104;18;991;-972;-99;44317;100.0;44317;...;.../...;18.3/6.7;23.7/39.6;0.1;-99;-99;-99;-99;-99;-99;-99;-99;155.5;77.0;74;52.9;0.5/9.2;-99;130;97.4/...;95.6/...;-99;;
Central African Republic;MiddleAfrica;622984;4659;44323;97.3;1633;44412;333.2;34.9;44432;40.4;72.2;44259;44309;44445;71.9/84.6;114;113;213;147;66;-99;0.4;40.0;44349;44201;51.0/47.8;43.2/5.5;81.6/1.7;470.5;93.5;44231;...;44228;79.8/107.3;11.8/23.0;1.5/4.1;44355;44306;44351;60;35.6;0.3/0.1;19;5;89.6/54.4;43.6/7.2;32.25;;
Chad;MiddleAfrica;1284000;14900;44419;100.2;10009;44353;713.0;44311;39.0;35.6;76.6;2.0;44307;44413;64.0/79.3;146;151;1990;1371;619;-99;44258;44338;44289;44261;52.8/50.5;47.1/4.0;517.0/3.7;512.3;91.2;44350;~0.0;44410;88.0/114.6;14.0/30.7;1.1/5.7;44420;40.2;44379;43;4.0;0.7/~0.0;288;6;71.8/44.8;31.4/6.5;27150;;
Channel Islands;NorthernEurope;180;165;870.1;98.4;-99;-99;-99;-99;-99;-99;5.0;44340;70.5;44385;49.9/65.4;-99;-99;-99;-99;-99;-99;0.5;44347;0.8;44317;82.4/78.7;14.5/24.5;82.3/50.3;-99;44446;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;44231;-99;-99;-99;-99;-99;-99;;
